street_address_and_name,zipcode,city,use_code,tax_assessment_year,tax_assessment_value,year_built,lot_size,finished_square_feet,bathrooms,bedrooms,zestimate_amount,region_name,region_type
20529 S Vermont Ave UNIT 1,90502,Carson,Condominium,2018,275498,1980,229579,959,2,2,382418,West Carson,city
20529 S Vermont Ave UNIT 5,90502,Carson,Condominium,2018,221880,1980,229579,959,2,2,382418,West Carson,city
20529 S Vermont Ave UNIT 3,90502,Carson,Condominium,2018,171277,1980,229579,959,2,2,382418,West Carson,city
20529 S Vermont Ave UNIT 8,90502,Carson,Condominium,2018,352e3,1980,229576,959,2,2,382419,West Carson,city
20529 S Vermont Ave UNIT 2,90502,Carson,Condominium,2018,188248,1980,229579,959,2,2,382418,West Carson,city
20529 S Vermont Ave UNIT 6,90502,Carson,Condominium,2018,128172,1980,229579,959,2,2,382418,West Carson,city
20529 S Vermont Ave UNIT 4,90502,Carson,Condominium,2018,352e3,1980,229579,959,2,2,382418,West Carson,city
2036 W 83rd St,90047,LOS ANGELES,SingleFamily,2018,160199,1937,6076,1757,2,2,600902,South Los Angeles,neighborhood
6851 Elmo St,91042,Tujunga,MultiFamily2To4,2018,19916,NA,1147,NA,NA,0,NA,Tujunga,neighborhood
6118 W 6th St,90048,LOS ANGELES,Duplex,2018,150134,1929,6250,4732,4,6,2270304,Mid City West,neighborhood
6023 1/4 10th Ave,90043,Los Angeles,MultiFamily2To4,NA,NA,NA,NA,432,1,1,546263,Hyde Park,neighborhood
19801 Lassen St,91311,CHATSWORTH,SingleFamily,2018,526401,1971,10998,3497,4,5,864916,Chatsworth,neighborhood
19801 Friar St,91367,WOODLAND HILLS,SingleFamily,2018,555e3,1954,7298,1392,2,4,619520,Woodland Hills,neighborhood
2708 James M Wood Blvd,90006,LOS ANGELES,Quadruplex,2018,350759,1987,6677,4288,4,8,1663420,MacArthur Park,neighborhood
3171 Carlyle St,90065,LOS ANGELES,SingleFamily,2018,731886,1924,14780,1712,3,4,1159965,Glassell Park,neighborhood
4405 Cimarron St,90062,LOS ANGELES,SingleFamily,2018,130872,1913,5206,1136,1,2,544156,South Los Angeles,neighborhood
1619 N La Brea Ave APT 315,90028,Los Angeles,Apartment,NA,NA,2011,NA,1022,1,1,NA,Hollywood,neighborhood
15072 Paddock St,91342,Sylmar,SingleFamily,2018,365798,1947,10813,1821,3,6,618915,Sylmar,neighborhood
7711 Baird Ave,91335,RESEDA,SingleFamily,2018,454191,1989,5488,1651,2,3,614729,Reseda,neighborhood
1743 W 59th Pl,90047,LOS ANGELES,SingleFamily,2018,225900,1923,3349,1023,1.75,3,432555,South Los Angeles,neighborhood
2060 Mayview Dr,90027,LOS ANGELES,SingleFamily,2018,401606,1990,3548,2237,3,3,1495865,Los Feliz,neighborhood
1301 Roscomare Rd,90077,LOS ANGELES,SingleFamily,2018,172549,1951,9721,2700,3,4,2412894,Bel Air,neighborhood
2132 Glencoe Ave,90291,VENICE,SingleFamily,2018,410934,1924,5422,1004,1,2,1718152,Venice,neighborhood
13377 Dyer St,91342,SYLMAR,SingleFamily,2018,365475,1955,7306,1242,2,4,510513,Sylmar,neighborhood
5063 Mount Royal Dr,90041,LOS ANGELES,Duplex,2018,497638,1924,6946,1700,2,2,922544,Eagle Rock,neighborhood
2918 N Eastern Ave,90032,LOS ANGELES,MultiFamily2To4,2018,461648,1959,7e3,2785,NA,0,676507,El Sereno,neighborhood
6836 Vanscoy Ave,91605,NORTH HOLLYWOOD,SingleFamily,2018,261696,1955,9020,2408,3,3,779786,Valley Glen,neighborhood
3428 Beswick St,90023,LOS ANGELES,SingleFamily,2018,186555,1911,5662,1240,1,2,431996,Boyle Heights,neighborhood
2469 Richelieu Ave,90032,LOS ANGELES,SingleFamily,2018,220705,1947,5999,947,1,3,570472,El Sereno,neighborhood
8649 Fullbright Ave,91306,WINNETKA,SingleFamily,2018,237491,1954,7763,1300,2,3,566192,Winnetka,neighborhood
18425 Collins St UNIT A,91356,Los angeles,Townhouse,2018,449e3,1973,124721,1516,3,3,519062,Tarzana,neighborhood
18425 Collins St UNIT B,91356,Los angeles,Townhouse,2018,438600,1973,124721,1512,3,2,496640,Tarzana,neighborhood
18425 Collins St UNIT E,91356,Los Angeles,Townhouse,2018,472300,1973,124720,1516,3,3,529121,Tarzana,neighborhood
18425 Collins St UNIT D,91356,Los Angeles,Townhouse,2018,458e3,1973,1917,1655,3,2,532396,Tarzana,neighborhood
18425 Collins St UNIT C,91356,Los Angeles,Condominium,2018,371569,1973,1742,1659,2.5,2,534018,Tarzana,neighborhood
18425 Collins St UNIT F,91356,Los Angeles,Condominium,2018,88724,1973,124721,1512,3,2,514813,Tarzana,neighborhood
13207 Moorpark St,91423,SHERMAN OAKS,Triplex,2018,598850,1941,6e3,3243,NA,NA,1588631,Sherman Oaks,neighborhood
1230 N Sweetzer Ave APT 109,90069,WEST HOLLYWOOD,Condominium,2018,194160,1972,30249,1184,2,2,787711,West Hollywood,city
1203 N Sweetzer Ave APT 109,90069,WEST HOLLYWOOD,Condominium,2018,402222,1970,33178,1183,2,2,755620,West Hollywood,city
1032 N Sweetzer Ave APT 109,90069,West Hollywood,Apartment,NA,NA,NA,NA,1178,2,2,NA,West Hollywood,city
14714 Strathern St,91402,PANORAMA CITY,Quadruplex,2018,464740,1955,7532,2970,4,8,694999,Panorama City,neighborhood
7817 Claybeck Ave,91352,SUN VALLEY,SingleFamily,2018,540113,1943,8276,1600,2,4,704079,Sun Valley,neighborhood
4550 E Rose Hill Dr,90032,LOS ANGELES,SingleFamily,2018,378392,1960,3950,880,1,2,573765,Montecito Heights,neighborhood
1149 Sanborn Ave,90029,Los Angeles,SingleFamily,NA,NA,1912,NA,900,1,2,1198859,Silver Lake,neighborhood
22646 Keswick St,91304,CANOGA PARK,SingleFamily,2018,623378,1975,7584,2268,3,4,757476,West Hills,neighborhood
11751 Pierce St,91342,SYLMAR,SingleFamily,2018,258318,1990,5720,1900,3,3,574787,Lakeview Terrace,neighborhood
20407 W Arbella Pl,91326,Northridge,SingleFamily,2018,479786,2016,5900,3293,6,5,1210698,Porter Ranch,neighborhood
5903 Shoshone Ave,91316,ENCINO,SingleFamily,2018,223787,1949,5630,1242,2,3,693101,Encino,neighborhood
5903 Holmes Ave TRLR 10,90001,Los Angeles,Mobile,NA,NA,2005,NA,400,1,1,313586,Florence-Graham,city
23415 Collins St,91367,WOODLAND HILLS,SingleFamily,2018,249769,1950,36006,1288,1,3,897106,Woodland Hills,neighborhood
373 N Kenter Ave,90049,LOS ANGELES,SingleFamily,2018,2027872,1947,8058,2551,3,4,3053818,Brentwood,neighborhood
10723 Mount Gleason Ave,91040,SUNLAND,SingleFamily,2018,247308,1929,13551,2154,3,3,767517,Sunland,neighborhood
7716 Firenze Ave,90046,LOS ANGELES,SingleFamily,2018,2342378,1942,10868,3356,3.5,4,2651937,Hollywood Hills,neighborhood
4511 Don Pablo Pl,90008,LOS ANGELES,SingleFamily,2018,590585,1959,6299,2814,3,2,1322695,Crenshaw,neighborhood
8366 Etiwanda Ave,91325,NORTHRIDGE,SingleFamily,2018,530442,1956,8047,1442,2,3,590334,Northridge,neighborhood
3525 Chesapeake Ave,90016,Los Angeles,MultiFamily2To4,NA,NA,NA,NA,NA,1,2,732025,West Adams,neighborhood
10441 Mountair Ave,91042,TUJUNGA,SingleFamily,2018,325533,1940,9776,2307,2,3,747329,Tujunga,neighborhood
246 Amalfi Dr,90402,SANTA MONICA,SingleFamily,2018,2031697,1973,5889,1490,2,3,2556163,Pacific Palisades,neighborhood
6249 Langdon Ave,91411,VAN NUYS,SingleFamily,2018,415578,1947,6840,1188,2,3,648294,Van Nuys,neighborhood
1022 Amoroso Pl,90291,VENICE,SingleFamily,2018,76440,1947,5940,1125,1,3,1820594,Venice,neighborhood
3428 La Sombra Dr,90068,LOS ANGELES,SingleFamily,2018,99279,1928,6928,2176,2,3,1346886,Hollywood Hills,neighborhood
9701 Sombra Terrace St,91040,Shadow Hills,SingleFamily,NA,NA,NA,NA,NA,NA,NA,832455,Shadow Hills,neighborhood
6033 W 83rd Pl,90045,LOS ANGELES,SingleFamily,2018,552987,1943,7663,2183,3,3,1432235,Westchester,neighborhood
663 W 8th St,90017,San Pedro,SingleFamily,2018,347924,1924,5001,1755,1.5,2,586560,San Pedro,neighborhood
3638 Hughes Ave APT 1,90034,LOS ANGELES,Townhouse,2018,905e3,2007,5871,1540,3,2,1024197,Palms,neighborhood
3479 W 67th St,90043,LOS ANGELES,SingleFamily,2018,295071,1984,5041,1776,2,4,657222,Hyde Park,neighborhood
769 W Elberon Ave,90731,SAN PEDRO,SingleFamily,2018,599e3,2003,4800,2040,3,4,710079,San Pedro,neighborhood
1823 Yosemite Dr,90041,LOS ANGELES,Duplex,2018,115793,1923,6983,2229,2,3,1048002,Eagle Rock,neighborhood
1232 N Gower St,90038,LOS ANGELES,MultiFamily2To4,2018,1069980,1913,6490,3100,3,4,1450125,Hollywood,neighborhood
4206 Monterey Rd,90032,LOS ANGELES,SingleFamily,2018,593027,1956,7710,1780,2,3,802880,El Sereno,neighborhood
8400 Variel Ave,91304,CANOGA PARK,SingleFamily,2018,296049,1967,5156,1678,2,3,587807,Canoga Park,neighborhood
8400 De Longpre Ave APT 406,90069,West Hollywood,SingleFamily,NA,NA,NA,871,NA,1,1,1217086,West Hollywood,city
141 Channel Pointe Mall,90292,Marina Del Rey,SingleFamily,NA,NA,2e3,2700,3500,5,3,3070553,Venice,neighborhood
3072 Saint George St,90027,Los Angeles,SingleFamily,2018,385903,1924,7341,1304,2,3,1238299,Los Feliz,neighborhood
14031 Sylvan St,91401,VAN NUYS,SingleFamily,2018,334658,1956,8729,1254,2,3,701432,Valley Glen,neighborhood
1376 Jonesboro Dr,90049,LOS ANGELES,SingleFamily,2018,204436,1954,9184,1914,2,3,2519135,Brentwood,neighborhood
1200 S Santa Fe Ave APT 220,90021,Los Angeles,Apartment,NA,NA,2015,NA,956,1,1,NA,Central City East,neighborhood
2045 Kenilworth Ave,90039,LOS ANGELES,SingleFamily,2018,575354,1940,7657,3140,4,5,2105936,Silver Lake,neighborhood
19850 Greenbriar Dr,91356,TARZANA,SingleFamily,2018,1070517,1969,14385,2802,2.75,3,1241935,Tarzana,neighborhood
2207 S Orange Dr,90016,LOS ANGELES,SingleFamily,2018,88705,1924,5879,1600,2,2,867123,Mid City,neighborhood
5712 1/2 San Vicente Blvd,90019,Los Angeles,MultiFamily2To4,NA,NA,NA,NA,350,1,0,1293045,Mid City,neighborhood
4218 Saint Clair Ave,91604,STUDIO CITY,SingleFamily,2018,352487,1937,6970,2106,2,3,1592283,Studio City,neighborhood
20100 Kinzie St,91311,CHATSWORTH,SingleFamily,2018,277826,1958,7618,1348,2,3,605155,Chatsworth,neighborhood
967 Malcolm Ave,90024,LOS ANGELES,SingleFamily,2018,2240924,1936,8102,4609,4.5,5,3990186,Westwood,neighborhood
3017 5th Ave,90018,LOS ANGELES,SingleFamily,2018,29244,1912,5807,1269,1,2,697640,Jefferson Park,neighborhood
3017 E 5th St,90063,LOS ANGELES,SingleFamily,2018,223662,1911,6684,1120,1,3,440032,Boyle Heights,neighborhood
1120 W 6th St APT 1510,90017,Los Angeles,Apartment,NA,NA,NA,NA,500,1,0,NA,Westlake,neighborhood
1510 W 146th St APT 8,90247,GARDENA,Condominium,2018,305e3,1981,18539,1080,2,2,335694,Gardena,city
2598 Thames Pl,90046,Los Angeles,VacantResidentialLand,2018,196048,NA,6734,NA,NA,0,NA,Hollywood Hills,neighborhood
1517 Kemper St,90065,LOS ANGELES,SingleFamily,2018,515e3,1924,5536,550,1,2,559127,Mount Washington,neighborhood
4554 Bowman Blvd,90032,LOS ANGELES,SingleFamily,2018,614900,1949,6776,1980,2,3,735860,El Sereno,neighborhood
16938 Knapp St,91343,Northridge,SingleFamily,2018,136207,1960,7552,1832,3,3,677705,Northridge,neighborhood
3925 W Point Pl,90065,LOS ANGELES,SingleFamily,2018,99065,1964,4809,1647,3,3,825037,Mount Washington,neighborhood
3462 Mentone Ave APT 207,90034,Los Angeles,Apartment,NA,NA,NA,NA,NA,1,1,NA,Palms,neighborhood
3462 Mentone Ave APT 105,90034,Los Angeles,Apartment,NA,NA,NA,NA,NA,1,0,NA,Palms,neighborhood
3462 Mentone Ave APT 208,90034,Los Angeles,Apartment,NA,NA,NA,NA,NA,2,2,NA,Palms,neighborhood
3462 Mentone Ave APT 209,90034,Los Angeles,Apartment,NA,NA,NA,NA,NA,1,1,NA,Palms,neighborhood
3462 Mentone Ave APT 204,90034,Los Angeles,Apartment,NA,NA,NA,NA,NA,1,1,NA,Palms,neighborhood
3462 Mentone Ave APT 109,90034,Los Angeles,Apartment,NA,NA,NA,NA,NA,2,2,NA,Palms,neighborhood
3462 Mentone Ave APT 210,90034,Los Angeles,Apartment,NA,NA,NA,NA,NA,2,2,NA,Palms,neighborhood
3462 Mentone Ave APT 102,90034,Los Angeles,Apartment,NA,NA,NA,NA,NA,2,2,NA,Palms,neighborhood
3462 Mentone Ave APT 206,90034,Los Angeles,Apartment,NA,NA,NA,NA,NA,1,0,NA,Palms,neighborhood
3462 Mentone Ave APT 106,90034,Los Angeles,Apartment,NA,NA,NA,NA,NA,1,1,NA,Palms,neighborhood
3462 Mentone Ave APT 104,90034,Los Angeles,Apartment,NA,NA,NA,NA,NA,1,1,NA,Palms,neighborhood
3462 Mentone Ave APT 107,90034,Los Angeles,Apartment,NA,NA,NA,NA,NA,2,2,NA,Palms,neighborhood
3462 Mentone Ave APT 202,90034,Los Angeles,Apartment,NA,NA,NA,NA,NA,1,1,NA,Palms,neighborhood
3462 Mentone Ave APT 203,90034,Los Angeles,Unknown,NA,NA,NA,NA,NA,NA,NA,1912151,Palms,neighborhood
3462 Mentone Ave APT 201,90034,Los Angeles,Apartment,NA,NA,NA,NA,NA,1,0,NA,Palms,neighborhood
3462 Mentone Ave APT 108,90034,Los Angeles,Apartment,NA,NA,NA,NA,NA,1,1,NA,Palms,neighborhood
3462 Mentone Ave APT 103,90034,Los Angeles,Apartment,NA,NA,NA,NA,NA,1,1,NA,Palms,neighborhood
230 N Alvarado St,90026,LOS ANGELES,Duplex,2018,63318,1905,4559,1178,2,2,784554,Westlake,neighborhood
17165 Armstead St,91344,GRANADA HILLS,SingleFamily,2018,560428,1963,7705,1690,2,3,728717,Granada Hills,neighborhood
5816 Etiwanda Ave UNIT 3,91356,Los Angeles,Condominium,2018,384680,1980,17522,1878,3,3,535529,Tarzana,neighborhood
20129 Mayall St,91311,CHATSWORTH,SingleFamily,2018,134983,1976,11010,1615,2,3,661467,Chatsworth,neighborhood
9971 Haddon Ave,91331,PACOIMA,SingleFamily,2018,208512,1947,7500,1509,3,5,521066,Pacoima,neighborhood
10125 Eton Ave,91311,CHATSWORTH,SingleFamily,2018,267652,1964,7460,1874,2,4,635713,Chatsworth,neighborhood
9751 Penfield Ave,91311,CHATSWORTH,SingleFamily,2018,582e3,1957,7562,1420,2,4,661440,Chatsworth,neighborhood
162 E 109th St,90061,LOS ANGELES,SingleFamily,2018,311100,1925,3859,1328,2,3,402561,Southeast Los Angeles,neighborhood
420 Wheeling Way,90042,LOS ANGELES,MultiFamily2To4,2018,656369,1925,5606,1872,2,5,913501,Hermon,neighborhood
420 1/2 Wheeling Way,90042,Los Angeles,MultiFamily2To4,NA,NA,1925,NA,NA,1,2,867847,Hermon,neighborhood
1301 Stonewood Ct,90732,SAN PEDRO,Condominium,2018,523e3,1976,255189,1572,3,2,553710,San Pedro,neighborhood
10043 Roscoe Blvd,91352,SUN VALLEY,SingleFamily,2018,453123,1956,9321,1824,2,4,803358,Sun Valley,neighborhood
2812 5th Ave,90018,LOS ANGELES,Duplex,2018,237334,1922,7502,1746,2,4,841141,Jefferson Park,neighborhood
5408 Shelley St,90032,LOS ANGELES,Apartment,2018,459473,1953,6534,2759,1,2,NA,El Sereno,neighborhood
5408 Shelley St,90032,Los angeles,SingleFamily,2018,26405,NA,1303,NA,NA,0,NA,El Sereno,neighborhood
914 Orme Ave,90023,Los Angeles,Apartment,2018,86995,1924,11746,5090,10,10,NA,Boyle Heights,neighborhood
611 S Soto St,90023,LOS ANGELES,Triplex,2018,396352,1894,5246,1832,3,6,674229,Boyle Heights,neighborhood
8162 Laurelgrove Ave,91605,NORTH HOLLYWOOD,SingleFamily,2018,227237,1949,6703,1566,2,3,613092,Sun Valley,neighborhood
1909 Fox Hills Dr,90025,LOS ANGELES,SingleFamily,2018,235702,1937,5439,1372,2,2,1571306,Century City,neighborhood
3462 Vista Haven Rd,91403,SHERMAN OAKS,SingleFamily,2018,541144,1957,11722,2930,3,4,1741469,Sherman Oaks,neighborhood
3000 Bellevue Ave,90026,Los Angeles,Apartment,2018,673775,1927,6706,3794,5,7,NA,Silver Lake,neighborhood
738 W 142nd St,90247,GARDENA,SingleFamily,2018,183799,1948,6250,1205,2,3,511e3,Harbor Gateway,neighborhood
101 Montreal St,90293,PLAYA DEL REY,Duplex,2018,162418,1966,2552,2160,4,6,2014336,Playa Del Rey,neighborhood
7301 S Victoria Ave,90043,LOS ANGELES,Duplex,2018,664e3,1912,10348,1600,3,6,698677,Hyde Park,neighborhood
4701 S Victoria Ave,90043,View Park,SingleFamily,2018,459957,1925,6098,1600,2,3,831165,View Park-Windsor Hills,city
9669 Crystal View Dr,91042,TUJUNGA,SingleFamily,2018,456877,1961,21212,1722,2,4,849172,Tujunga,neighborhood
11357 Sunburst St,91342,SYLMAR,SingleFamily,2018,192701,1979,9435,1955,2,4,607357,Lakeview Terrace,neighborhood
5029 Cartwright Ave,91601,North Hollywood,MultiFamily2To4,NA,NA,1952,NA,NA,NA,NA,1119138,North Hollywood,neighborhood
6518 Kraft Ave,91606,NORTH HOLLYWOOD,SingleFamily,2018,166621,1940,6922,1197,1,2,570301,North Hollywood,neighborhood
10961 Longford St,91342,SYLMAR,SingleFamily,2018,497835,1945,19071,2209,3,3,796650,Lakeview Terrace,neighborhood
4932 Petit Ave,91436,ENCINO,SingleFamily,2018,914e3,1949,8246,2051,2,3,1326959,Encino,neighborhood
9012 S Hoover St,90044,LOS ANGELES,Triplex,2018,389558,1937,7727,1924,3,4,538050,South Los Angeles,neighborhood
26309 Zephyr Ave,90710,HARBOR CITY,SingleFamily,2018,276774,1946,7440,1360,2,3,629405,Harbor City,neighborhood
8511 Walnut Dr,90046,LOS ANGELES,SingleFamily,2018,582684,1958,3214,1176,2,2,960638,Hollywood Hills,neighborhood
739 E Jefferson Blvd,90011,LOS ANGELES,SingleFamily,2018,168171,1905,5408,1273,1,3,414979,Central City,neighborhood
14839 Lanark St,91402,PANORAMA CITY,SingleFamily,2018,455e3,1953,6e3,1268,1.5,3,510799,Panorama City,neighborhood
13760 De Garmo Ave,91342,SYLMAR,SingleFamily,2018,192789,1977,17474,1821,2,3,735803,Sylmar,neighborhood
10616 Clovis Ave,90002,LOS ANGELES,SingleFamily,2018,300129,1950,5190,1378,2,4,434972,Southeast Los Angeles,neighborhood
3567 Canada St,90065,LOS ANGELES,SingleFamily,2018,162433,1922,8441,520,1,2,679267,Glassell Park,neighborhood
3120 Berkeley Cir,90026,LOS ANGELES,Duplex,2018,695453,1936,5091,2137,2,4,1352150,Silver Lake,neighborhood
3031 W West View St,90016,Los Angeles,Townhouse,NA,NA,1929,NA,NA,1,1,595155,West Adams,neighborhood
10966 Bartee Ave,91345,MISSION HILLS,SingleFamily,2018,333064,1954,8734,1374,2,4,520355,Mission Hills,neighborhood
10966 Rochester Ave APT 3B,90024,Los Angeles,Condominium,NA,NA,1973,NA,875,1,1,672300,Westwood,neighborhood
553 W 13th St,90731,SAN PEDRO,MultiFamily2To4,2018,388220,1957,6749,3220,4,6,950712,San Pedro,neighborhood
12035 Clover Ave,90066,LOS ANGELES,SingleFamily,2018,111706,1948,5499,1158,1,3,1538434,Mar Vista,neighborhood
3033 11th Ave,90018,LOS ANGELES,SingleFamily,2018,31401,1925,5400,898,1,2,679676,Jefferson Park,neighborhood
13622 Mercer St,91331,PACOIMA,SingleFamily,2018,170572,1954,5332,1068,1,3,457117,Pacoima,neighborhood
3010 Stocker St,90008,Los Angeles,MultiFamily2To4,NA,NA,1938,NA,630,1,1,627941,Leimert Park,neighborhood
3010 1/2 Stocker St,90008,Los Angeles,MultiFamily2To4,NA,NA,1938,NA,625,1,1,629353,Leimert Park,neighborhood
1720 W 41st Dr,90062,LOS ANGELES,SingleFamily,2018,364140,1912,5750,1328,1,2,640568,South Los Angeles,neighborhood
23518 Clearpool Pl,90710,HARBOR CITY,SingleFamily,2018,128209,1969,5013,1799,2,4,639797,Harbor City,neighborhood
620 Hauser Blvd APT 7,90036,Los Angeles,MultiFamily2To4,NA,NA,NA,NA,650,1,1,1516800,Mid Wilshire,neighborhood
9819 Monogram Ave,91343,Northridge,SingleFamily,2018,370015,1956,7866,1557,2,3,627787,Northridge,neighborhood
9536 Sandusky Ave,91331,Arleta,SingleFamily,2018,261857,1953,6032,1296,2,3,511318,Arleta,neighborhood
1571 W 37th St,90018,LOS ANGELES,SingleFamily,2018,50906,1905,5616,836,1,2,553734,South Los Angeles,neighborhood
2006 Thurman Ave,90016,LOS ANGELES,Apartment,2018,451121,1941,5380,1e3,1,2,NA,Mid City,neighborhood
4001 Hayvenhurst Dr,91436,ENCINO,SingleFamily,2018,2291372,1986,18720,4867,5,4,3263610,Encino,neighborhood
9633 Saluda Ave,91042,TUJUNGA,SingleFamily,2018,261930,1955,6011,1276,2,3,722641,Tujunga,neighborhood
2518 Toberman St,90007,Los Angeles,Apartment,NA,NA,NA,NA,NA,1,0,NA,University Park,neighborhood
8826 Matilija Ave,91402,PANORAMA CITY,SingleFamily,2018,104542,1950,9666,1232,1,3,521599,Panorama City,neighborhood
8625 Melvil St,90034,LOS ANGELES,SingleFamily,2018,552294,1947,3090,1188,2,3,934327,Palms,neighborhood
2354 Edgewater Ter,90039,LOS ANGELES,SingleFamily,2018,68573,1923,4484,807,1,2,983762,Silver Lake,neighborhood
4150 Sea View Dr,90065,LOS ANGELES,SingleFamily,2018,246060,1947,7152,1834,3,2,1094951,Mount Washington,neighborhood
13982 Stroud St,91402,PANORAMA CITY,SingleFamily,2018,354512,1951,15360,2588,3.5,3,763012,Panorama City,neighborhood
13982 Van Nuys Blvd,91331,Arleta,SingleFamily,2018,164175,1955,7573,1720,1,3,537276,Arleta,neighborhood
14649 Killion St,91411,Sherman Oaks,SingleFamily,2018,344432,1940,6290,1775,2,3,953041,Sherman Oaks,neighborhood
7015 Earldom Ave,90293,PLAYA DEL REY,SingleFamily,2018,1377e3,1955,4948,2614,3,4,2537592,Playa Del Rey,neighborhood
5170 Garden Grove Ave,91356,TARZANA,SingleFamily,2018,574766,1950,5499,2204,3,3,985362,Tarzana,neighborhood
3233 Drew St,90065,Los Angeles,Apartment,2018,1051003,1923,20762,7728,12,14,NA,Glassell Park,neighborhood
2724 Ballard St,90032,LOS ANGELES,MultiFamily2To4,2018,487013,1947,5426,2740,NA,0,796035,El Sereno,neighborhood
4237 Avocado St,90027,Los Angeles,Condominium,NA,NA,1949,7001,1200,1,2,754083,Los Feliz,neighborhood
1740 Stone Canyon Rd,90077,LOS ANGELES,SingleFamily,2018,2801159,1966,34442,3475,3,4,4075026,Bel Air,neighborhood
1740 Bel Air Rd,90077,LOS ANGELES,SingleFamily,2018,18349800,2015,43560,11246,10,7,21009320,Beverly Glen,neighborhood
439 E 98th St,90003,LOS ANGELES,SingleFamily,2018,265302,1952,5227,750,1,2,342119,Southeast Los Angeles,neighborhood
23111 Oxnard St,91367,WOODLAND HILLS,SingleFamily,2018,302466,1952,27990,2093,3,3,1029718,Woodland Hills,neighborhood
10507 Mason Ave,91311,CHATSWORTH,Duplex,2018,223407,1947,103573,3414,4,5,1163729,Chatsworth,neighborhood
446 W 68th St,90003,LOS ANGELES,SingleFamily,2018,31423,1918,5241,1010,1,2,709248,South Los Angeles,neighborhood
1265 W 22nd St,90007,San Pedro,Apartment,2018,490774,1933,5399,2782,5,6,NA,San Pedro,neighborhood
5309 Cartwright Ave APT 4,91601,North Hollywood,Townhouse,NA,NA,NA,NA,NA,2,2,567294,North Hollywood,neighborhood
18157 Andrea Cir N UNIT 1,91325,Los angeles,Condominium,2018,204895,1980,189022,1656,3,2,457781,Northridge,neighborhood
18157 Andrea Cir N UNIT 2,91325,Northridge,Condominium,2018,330848,1980,189022,1724,3,2,474720,Northridge,neighborhood
18157 Andrea Cir N UNIT 3,91325,Northridge,Condominium,2018,497e3,1980,189022,1824,3,3,519500,Northridge,neighborhood
18157 Andrea Cir N UNIT 4,91325,Northridge,Condominium,2018,334479,1980,189022,1824,3,3,518638,Northridge,neighborhood
18157 Andrea Cir N UNIT 5,91325,NORTHRIDGE,Condominium,2018,354566,1980,189022,2061,3,3,558715,Northridge,neighborhood
730 E 50th St,90011,LOS ANGELES,Duplex,2018,38944,1908,7500,2437,2,2,557725,Southeast Los Angeles,neighborhood
924 W 56th St,90037,LOS ANGELES,SingleFamily,2018,28601,1909,5120,1144,1,2,432823,South Los Angeles,neighborhood
